Material,Ultimate tensile strength,Yield strength,Young's modulus,Shear modulus,Poisson's ratio,Density,Use
Steel SAE 1117,467,303,207000,79000,0.3,7860,Yes
Steel SAE 1117,429,279,207000,79000,0.3,7860,Yes
Steel SAE 1118,521,316,207000,79000,0.3,7860,No
Steel SAE 1118,477,319,207000,79000,0.3,7860,Yes
Steel SAE 1118,450,284,207000,79000,0.3,7860,Yes
Steel SAE 1137,627,379,207000,79000,0.3,7860,No
Steel SAE 1137,669,396,207000,79000,0.3,7860,No
Steel SAE 1137,584,345,207000,79000,0.3,7860,No
Steel SAE 1137,1082,938,207000,79000,0.3,7860,No
Steel SAE 1141,676,359,207000,79000,0.3,7860,No
Steel SAE 1141,707,405,207000,79000,0.3,7860,No
Steel SAE 1141,598,353,207000,79000,0.3,7860,No
Steel SAE 1141,1634,1213,207000,79000,0.3,7860,No
Steel SAE 1144,703,421,207000,79000,0.3,7860,No
Steel SAE 1144,667,400,207000,79000,0.3,7860,No
Steel SAE 1144,584,346,207000,79000,0.3,7860,No
Steel SAE 1144,876,627,207000,79000,0.3,7860,No
Steel SAE 1340,836,558,207000,79000,0.3,7860,No
Steel SAE 1340,703,436,207000,79000,0.3,7860,No
Steel SAE 1340,1806,1593,207000,79000,0.3,7860,No
Steel SAE 3140,891,600,207000,79000,0.3,7860,No
Steel SAE 3140,689,422,207000,79000,0.3,7860,No
Steel SAE 4037,1027,758,207000,79000,0.3,7860,No
Steel SAE 4042,1800,1662,207000,79000,0.3,7860,No
Steel SAE 4130,669,436,207000,79000,0.3,7860,No
Steel SAE 4130,560,360,207000,79000,0.3,7860,No
Steel SAE 4130,1627,1462,207000,79000,0.3,7860,No
Steel SAE 4140,1020,655,207000,79000,0.3,7860,No
Steel SAE 4140,655,417,207000,79000,0.3,7860,No
Steel SAE 4140,1772,1641,207000,79000,0.3,7860,No
Steel SAE 4150,1155,734,207000,79000,0.3,7860,No
Steel SAE 4150,729,379,207000,79000,0.3,7860,No
Steel SAE 4150,1931,1724,207000,79000,0.3,7860,No
Steel SAE 4320,793,464,207000,79000,0.3,7860,No
Steel SAE 4320,579,425,207000,79000,0.3,7860,No
Steel SAE 4340,1279,862,207000,79000,0.3,7860,No
Steel SAE 4340,745,472,207000,79000,0.3,7860,No
Steel SAE 4340,1875,1675,207000,79000,0.3,7860,No
Steel SAE 4620,574,366,207000,79000,0.3,7860,No
Steel SAE 4620,512,372,207000,79000,0.3,7860,No
Steel SAE 4820,755,484,207000,79000,0.3,7860,No
Steel SAE 4820,681,464,207000,79000,0.3,7860,No
Steel SAE 5046,1744,1407,207000,79000,0.3,7860,No
Steel SAE 5130,1613,1517,207000,79000,0.3,7860,No
Steel SAE 5140,793,472,207000,79000,0.3,7860,No
Steel SAE 5140,572,293,207000,79000,0.3,7860,No
Steel SAE 5140,1793,1641,207000,79000,0.3,7860,No
Steel SAE 5150,870,529,207000,79000,0.3,7860,No
Steel SAE 5150,676,357,207000,79000,0.3,7860,No
Steel SAE 5150,1944,1731,207000,79000,0.3,7860,No
Steel SAE 5160,957,531,207000,79000,0.3,7860,No
Steel SAE 5160,722,276,207000,79000,0.3,7860,No
Steel SAE 5160,2220,1793,207000,79000,0.3,7860,No
Steel SAE 6150,939,615,207000,79000,0.3,7860,No
Steel SAE 6150,667,412,207000,79000,0.3,7860,No
Steel SAE 6150,1931,1689,207000,79000,0.3,7860,No
Steel SAE 8620,633,357,207000,79000,0.3,7860,No
Steel SAE 8620,536,385,207000,79000,0.3,7860,No
Steel SAE 8630,650,429,207000,79000,0.3,7860,No
Steel SAE 8630,564,372,207000,79000,0.3,7860,No
Steel SAE 8630,1641,1503,207000,79000,0.3,7860,No
Steel SAE 8640,1862,1669,207000,79000,0.3,7860,No
Steel SAE 8650,1024,688,207000,79000,0.3,7860,No
Steel SAE 8650,715,386,207000,79000,0.3,7860,No
Steel SAE 8650,1937,1675,207000,79000,0.3,7860,No
Steel SAE 8660,1634,1551,207000,79000,0.3,7860,No
Steel SAE 8740,929,607,207000,79000,0.3,7860,No
Steel SAE 8740,695,415,207000,79000,0.3,7860,No
Steel SAE 8740,1999,1655,207000,79000,0.3,7860,No
Steel SAE 9255,933,579,207000,79000,0.3,7860,No
Steel SAE 9255,774,486,207000,79000,0.3,7860,No
Steel SAE 9255,2103,2048,207000,79000,0.3,7860,No
Steel SAE 9260,1758,1503,207000,79000,0.3,7860,No
Steel SAE 9310,907,571,207000,79000,0.3,7860,No
Steel SAE 9310,820,440,207000,79000,0.3,7860,No
Steel SAE 30201,793,379,193000,743000,0.3,8030,No
Steel SAE 30201,862,517,193000,743000,0.3,8030,No
Steel SAE 30201,1034,758,193000,743000,0.3,8030,No
Steel SAE 30201,1207,931,193000,743000,0.3,8030,No
Steel SAE 30201,1276,965,193000,743000,0.3,8030,No
Steel SAE 30202,724,379,193000,743000,0.3,8030,No
Steel SAE 30202,862,517,193000,743000,0.3,8030,No
Steel SAE 30301,758,276,193000,743000,0.3,8030,No
Steel SAE 30301,862,517,193000,743000,0.3,8030,No
Steel SAE 30301,1034,758,193000,743000,0.3,8030,No
Steel SAE 30301,1207,931,193000,743000,0.3,8030,No
Steel SAE 30301,1276,965,193000,743000,0.3,8030,No
Steel SAE 30302,621,255,193000,743000,0.3,8030,No
Steel SAE 30302,862,517,193000,743000,0.3,8030,No
Steel SAE 30302B,655,276,193000,743000,0.3,8030,No
Steel SAE 30303,621,241,193000,743000,0.3,8030,No
Steel SAE 30304,586,241,193000,743000,0.3,8030,No
Steel SAE 30304L,552,207,193000,743000,0.3,8030,No
Steel SAE 30305,586,255,193000,743000,0.3,8030,No
Steel SAE 30308,586,241,193000,743000,0.3,8030,No
Steel SAE 30309,621,276,193000,743000,0.3,8030,No
Steel SAE 30310,655,276,193000,743000,0.3,8030,No
Steel SAE 30314,689,345,193000,743000,0.3,8030,No
Steel SAE 30316,586,241,193000,743000,0.3,8030,No
Steel SAE 30316L,538,207,193000,743000,0.3,8030,No
Steel SAE 30317,621,276,193000,743000,0.3,8030,No
Steel SAE 30321,600,241,193000,743000,0.3,8030,No
Steel SAE 30347,634,241,193000,743000,0.3,8030,No
Steel SAE 30348,634,241,193000,743000,0.3,8030,No
Steel SAE 51403,517,276,200000,769000,0.3,8030,No
Steel SAE 51403,1310,1000,200000,769000,0.3,8030,No
Steel SAE 51405,483,276,200000,769000,0.3,8030,No
Steel SAE 51410,517,276,200000,769000,0.3,8030,No
Steel SAE 51410,1310,1000,200000,769000,0.3,8030,No
Steel SAE 51414,827,655,200000,769000,0.3,8030,No
Steel SAE 51414,1379,1034,200000,769000,0.3,8030,No
Steel SAE 51416,517,276,200000,769000,0.3,8030,No
Steel SAE 51416,1310,1000,200000,769000,0.3,8030,No
Steel SAE 51420,655,345,200000,769000,0.3,8030,No
Steel SAE 51420,1586,1344,200000,769000,0.3,8030,No
Steel SAE 51430,517,310,200000,769000,0.3,8030,No
Steel SAE 51430F,552,379,200000,769000,0.3,8030,No
Steel SAE 51431,862,655,200000,769000,0.3,8030,No
Steel SAE 51431,1413,1069,200000,769000,0.3,8030,No
Steel SAE 51440A,724,414,200000,769000,0.3,8030,No
Steel SAE 51440A,1793,1655,200000,769000,0.3,8030,No
Steel SAE 51440C,758,448,200000,769000,0.3,8030,No
Steel SAE 51440C,1965,1896,200000,769000,0.3,8030,No
Steel SAE 51446,552,345,200000,769000,0.3,8030,No
Steel SAE 51501,483,207,200000,769000,0.3,8030,No
Steel SAE 51502,483,207,200000,769000,0.3,8030,No
Grey cast iron class 20,138,138,80000,32000,0.25,7160,No
Grey cast iron class 25,172,172,98000,39000,0.25,7160,No
Grey cast iron class 30,207,207,100000,40000,0.25,7160,No
Grey cast iron class 35,241,241,110000,44000,0.25,7160,No
Grey cast iron class 40,276,276,117000,47000,0.25,7160,No
Grey cast iron class 50,345,345,124000,50000,0.25,7160,No
Grey cast iron class 60,414,414,137000,55000,0.25,7160,No
Malleable cast iron,276,207,172000,68000,0.27,7160,No
Malleable cast iron,414,317,172000,68000,0.27,7160,No
Malleable cast iron,552,427,172000,68000,0.27,7160,No
Malleable cast iron,689,538,172000,68000,0.27,7160,No
Nodular cast iron,414,276,159000,66000,0.2,7160,No
Nodular cast iron,552,365,159000,66000,0.2,7160,No
Nodular cast iron,689,455,159000,66000,0.2,7160,No
Nodular cast iron,827,552,159000,66000,0.2,7160,No
Copper Alloy C80100,172,62,108000,40000,0.35,8930,No
High-Copper Alloy C81300,365,248,108000,40000,0.35,8930,No
High-Copper Alloy C81500,352,276,108000,40000,0.35,8930,No
High-Copper Alloy C81700,634,469,108000,40000,0.35,8930,No
Red brass C83300,221,69,100000,37000,0.34,8500,No
Red brass C83400,241,69,100000,37000,0.34,8500,No
Red brass C83600,255,117,100000,37000,0.34,8500,No
Red brass C83800,241,110,100000,37000,0.34,8500,No
Semi-red Brass C84200,241,97,100000,37000,0.34,8500,No
Semi-red Brass C84400,234,97,100000,37000,0.34,8500,No
Semi-red Brass C84500,241,97,100000,37000,0.34,8500,No
Semi-red Brass C84800,241,97,100000,37000,0.34,8500,No
Yellow Brass C85200,262,90,100000,37000,0.34,8500,No
Yellow Brass C85400,234,83,100000,37000,0.34,8500,No
Yellow Brass C85500,414,159,100000,37000,0.34,8500,No
Yellow Brass C85700,345,124,100000,37000,0.34,8500,No
Yellow Brass C85800,379,207,100000,37000,0.34,8500,No
Manganese Bronze C86100,655,345,120000,45000,0.31,8800,No
Manganese Bronze C86200,655,331,120000,45000,0.31,8800,No
Manganese Bronze C86300,793,572,120000,45000,0.31,8800,No
Manganese Bronze C86400,448,172,120000,45000,0.31,8800,No
Manganese Bronze C86500,490,193,120000,45000,0.31,8800,No
Manganese Bronze C86700,586,290,120000,45000,0.31,8800,No
Manganese Bronze C86800,565,262,120000,45000,0.31,8800,No
Silicon Brass C87200,379,172,120000,45000,0.31,8800,No
Silicon Bronze C87400,379,165,120000,45000,0.31,8800,No
Silicon Bronze C87500,462,207,120000,45000,0.31,8800,No
Silicon Bronze C87600,455,221,120000,45000,0.31,8800,No
Silicon Bronze C87800,586,345,120000,45000,0.31,8800,No
Silicon Bronze C87900,483,241,120000,45000,0.31,8800,No
Tin Bronze C90200,262,110,120000,45000,0.31,8800,No
Tin Bronze C90300,310,145,120000,45000,0.31,8800,No
Tin Bronze C90500,310,152,120000,45000,0.31,8800,No
Tin Bronze C90700,303,152,120000,45000,0.31,8800,No
Tin Bronze C90900,276,138,120000,45000,0.31,8800,No
Tin Bronze C91000,221,172,120000,45000,0.31,8800,No
Tin Bronze C91100,241,172,120000,45000,0.31,8800,No
Tin Bronze C91300,241,207,120000,45000,0.31,8800,No
Tin Bronze C91600,303,152,120000,45000,0.31,8800,No
Tin Bronze C91700,303,152,120000,45000,0.31,8800,No
Leaded Tin Bronze C92200,276,138,120000,45000,0.31,8800,No
Leaded Tin Bronze C92300,276,138,120000,45000,0.31,8800,No
Leaded Tin Bronze C92500,303,138,120000,45000,0.31,8800,No
Leaded Tin Bronze C92600,303,138,120000,45000,0.31,8800,No
Leaded Tin Bronze C92700,290,145,120000,45000,0.31,8800,No
Leaded Tin Bronze C92800,276,207,120000,45000,0.31,8800,No
Leaded Tin Bronze C92900,324,179,120000,45000,0.31,8800,No
High Leaded Tin Bronze C93200,241,124,120000,45000,0.31,8800,No
High Leaded Tin Bronze C93400,221,110,120000,45000,0.31,8800,No
High Leaded Tin Bronze C93500,221,110,120000,45000,0.31,8800,No
High Leaded Tin Bronze C93700,241,124,120000,45000,0.31,8800,No
High Leaded Tin Bronze C93800,207,110,120000,45000,0.31,8800,No
High Leaded Tin Bronze C93900,221,152,120000,45000,0.31,8800,No
High Leaded Tin Bronze C94300,186,90,120000,45000,0.31,8800,No
High Leaded Tin Bronze C94400,221,110,120000,45000,0.31,8800,No
High Leaded Tin Bronze C94500,172,83,120000,45000,0.31,8800,No
Nickel-Tin Bronze C94700,345,159,120000,45000,0.31,8800,No
Nickel-Tin Bronze C94800,310,159,120000,45000,0.31,8800,No
Aluminum Bronze C95200,552,186,120000,45000,0.32,8800,No
Aluminum Bronze C95300,517,186,120000,45000,0.32,8800,No
Aluminum Bronze C95400,586,241,120000,45000,0.32,8800,No
Aluminum Bronze C95500,689,303,120000,45000,0.32,8800,No
Aluminum Bronze C95600,517,234,120000,45000,0.32,8800,No
Aluminum Bronze C95700,655,310,120000,45000,0.32,8800,No
Aluminum Bronze C95800,655,262,120000,45000,0.32,8800,No
Copper-Nickel C96200,310,172,100000,37000,0.34,8500,No
Copper-Nickel C96300,517,379,100000,37000,0.34,8500,No
Copper-Nickel C96400,469,255,100000,37000,0.34,8500,No
Copper-Nickel C96600,758,483,100000,37000,0.34,8500,No
Nickel Silver C97300,241,117,100000,37000,0.34,8500,No
Nickel Silver C97400,262,117,100000,37000,0.34,8500,No
Nickel Silver C97600,310,165,100000,37000,0.34,8500,No
Nickel Silver C97800,379,207,100000,37000,0.34,8500,No
Special Alloy C99300,655,379,100000,37000,0.34,8500,No
Special Alloy C99400,455,234,100000,37000,0.34,8500,No
Special Alloy C99500,483,276,100000,37000,0.34,8500,No
Special Alloy C99700,379,172,100000,37000,0.34,8500,No
Special Alloy C99750,448,221,100000,37000,0.34,8500,No
Copper Alloy C10100,221,69,108000,40000,0.35,8930,No
Copper Alloy C15000,200,41,108000,40000,0.35,8930,No
Copper Alloy C15500,276,124,108000,40000,0.35,8930,No
Copper Alloy C15715,359,303,108000,40000,0.35,8930,No
Copper Alloy C15720,441,372,108000,40000,0.35,8930,No
Copper Alloy C15760,483,448,108000,40000,0.35,8930,No
Copper Alloy C16200,241,48,108000,40000,0.35,8930,No
Copper Alloy C16500,276,97,108000,40000,0.35,8930,No
Copper Alloy C17000,483,221,108000,40000,0.35,8930,No
Copper Alloy C17300,469,172,108000,40000,0.35,8930,No
Copper Alloy C17500,310,172,108000,40000,0.35,8930,No
Copper Alloy C18200,234,97,108000,40000,0.35,8930,No
Copper Alloy C18900,262,62,108000,40000,0.35,8930,No
Copper Alloy C19000,262,138,108000,40000,0.35,8930,No
Copper Alloy C19100,248,69,108000,40000,0.35,8930,No
Copper Alloy C19200,255,76,108000,40000,0.35,8930,No
Copper Alloy C19400,310,165,108000,40000,0.35,8930,No
Copper Alloy C19500,552,448,108000,40000,0.35,8930,No
Copper Alloy C21000,234,69,108000,40000,0.35,8930,No
Commercial bronze C22000,255,69,105000,40000,0.32,8800,No
Red brass C23000,269,69,105000,40000,0.32,8800,No
Low brass C24000,290,83,105000,40000,0.32,8800,No
Cartridge brass C26000,303,76,105000,40000,0.32,8800,No
Yellow brass C26800,317,97,105000,40000,0.32,8800,No
Muntz metal C28000,372,145,105000,40000,0.32,8800,No
Leaded commercial bronze C31400,255,83,105000,40000,0.32,8800,No
Low-leaded brass C33000,324,103,105000,40000,0.32,8800,No
High-leaded brass C34200,338,117,105000,40000,0.32,8800,No
Medium-leaded brass C35000,310,90,105000,40000,0.32,8800,No
Leaded Muntz metal C36500,372,138,105000,40000,0.32,8800,No
Architectural bronze C38500,414,138,105000,40000,0.32,8800,No
Copper Alloy C40500,269,83,105000,40000,0.32,8800,No
Copper Alloy C40800,290,90,105000,40000,0.32,8800,No
Copper Alloy C41100,269,76,105000,40000,0.32,8800,No
Copper Alloy C41300,283,83,105000,40000,0.32,8800,No
Copper Alloy C41500,317,117,105000,40000,0.32,8800,No
Copper Alloy C42200,296,103,105000,40000,0.32,8800,No
Copper Alloy C42500,310,124,105000,40000,0.32,8800,No
Copper Alloy C43000,317,124,105000,40000,0.32,8800,No
Copper Alloy C43400,310,103,105000,40000,0.32,8800,No
Copper Alloy C43500,317,110,105000,40000,0.32,8800,No
Copper Alloy C44300,331,124,105000,40000,0.32,8800,No
Copper Alloy C46400,379,172,105000,40000,0.32,8800,No
Copper Alloy C48200,386,172,105000,40000,0.32,8800,No
Copper Alloy C48500,393,172,105000,40000,0.32,8800,No
Copper Alloy C50500,276,97,105000,40000,0.32,8800,No
Copper Alloy C51000,324,131,105000,40000,0.32,8800,No
Copper Alloy C51100,317,345,105000,40000,0.32,8800,No
Copper Alloy C52100,379,165,105000,40000,0.32,8800,No
Copper Alloy C52400,455,193,105000,40000,0.32,8800,No
Copper Alloy C54400,303,131,105000,40000,0.32,8800,No
Copper Alloy C60800,414,186,105000,40000,0.32,8800,No
Copper Alloy C61000,359,117,105000,40000,0.32,8800,No
Copper Alloy C61300,483,207,105000,40000,0.32,8800,No
Copper Alloy C61400,524,228,105000,40000,0.32,8800,No
Copper Alloy C61500,483,152,105000,40000,0.32,8800,No
Copper Alloy C61800,552,269,105000,40000,0.32,8800,No
Copper Alloy C61900,634,338,105000,40000,0.32,8800,No
Copper Alloy C62300,517,241,105000,40000,0.32,8800,No
Copper Alloy C62400,621,276,105000,40000,0.32,8800,No
Copper Alloy C62500,689,379,105000,40000,0.32,8800,No
Copper Alloy C63000,621,345,105000,40000,0.32,8800,No
Copper Alloy C63200,621,310,105000,40000,0.32,8800,No
Copper Alloy C63800,565,372,105000,40000,0.32,8800,No
Copper Alloy C64200,517,241,105000,40000,0.32,8800,No
Copper Alloy C65100,276,103,105000,40000,0.32,8800,No
Copper Alloy C65500,386,145,105000,40000,0.32,8800,No
Copper Alloy C66700,316,83,105000,40000,0.32,8800,No
Copper Alloy C67400,483,234,105000,40000,0.32,8800,No
Copper Alloy C67500,448,207,105000,40000,0.32,8800,No
Copper Alloy C68700,414,186,105000,40000,0.32,8800,No
Copper Alloy C68800,565,379,105000,40000,0.32,8800,No
Copper Alloy C69000,565,359,105000,40000,0.32,8800,No
Copper Alloy C69400,552,276,105000,40000,0.32,8800,No
Copper Alloy C70400,262,276,105000,40000,0.32,8800,No
Copper Alloy C70600,303,110,105000,40000,0.32,8800,No
Copper Alloy C71000,338,90,105000,40000,0.32,8800,No
Copper Alloy C71500,372,138,105000,40000,0.32,8800,No
Copper Alloy C72200,317,124,105000,40000,0.32,8800,No
Copper Alloy C72500,379,152,105000,40000,0.32,8800,No
Copper Alloy C73500,345,103,105000,40000,0.32,8800,No
Copper Alloy C74500,338,124,105000,40000,0.32,8800,No
Copper Alloy C75200,386,172,105000,40000,0.32,8800,No
Copper Alloy C75400,365,124,105000,40000,0.32,8800,No
Copper Alloy C75700,359,124,105000,40000,0.32,8800,No
Copper Alloy C76390,621,586,105000,40000,0.32,8800,No
Copper Alloy C77000,414,186,105000,40000,0.32,8800,No
Copper Alloy C78200,365,159,105000,40000,0.32,8800,No
Aluminum Alloy 201.0,414,345,73000,26000,0.33,2700,No
Aluminum Alloy 204.0,310,193,73000,26000,0.33,2700,No
Aluminum Alloy 208.0,131,83,73000,26000,0.33,2700,No
Aluminum Alloy 242.0,221,138,73000,26000,0.33,2700,No
Aluminum Alloy 242.0,165,90,73000,26000,0.33,2700,No
Aluminum Alloy 295.0,200,90,73000,26000,0.33,2700,No
Aluminum Alloy 295.0,221,138,73000,26000,0.33,2700,No
Aluminum Alloy 295.0,248,193,73000,26000,0.33,2700,No
Aluminum Alloy 295.0,200,110,73000,26000,0.33,2700,No
Aluminum Alloy 319.0,159,90,73000,26000,0.33,2700,No
Aluminum Alloy 319.0,214,138,73000,26000,0.33,2700,No
Aluminum Alloy 328.0,172,97,73000,26000,0.33,2700,No
Aluminum Alloy 328.0,234,145,73000,26000,0.33,2700,No
Aluminum Alloy 355.0,172,124,73000,26000,0.33,2700,No
Aluminum Alloy 355.0,221,138,73000,26000,0.33,2700,No
Aluminum Alloy 355.0,207,152,73000,26000,0.33,2700,No
Aluminum Alloy C355.0,248,172,73000,26000,0.33,2700,No
Aluminum Alloy 356.0,159,110,73000,26000,0.33,2700,No
Aluminum Alloy 356.0,207,138,73000,26000,0.33,2700,No
Aluminum Alloy 356.0,214,200,73000,26000,0.33,2700,No
Aluminum Alloy 356.0,172,124,73000,26000,0.33,2700,No
Aluminum Alloy A356.0,234,165,73000,26000,0.33,2700,No
Aluminum Alloy 443.0,117,48,73000,26000,0.33,2700,No
Aluminum Alloy B443.0,117,41,73000,26000,0.33,2700,No
Aluminum Alloy 512.0,117,69,73000,26000,0.33,2700,No
Aluminum Alloy 514.0,152,62,73000,26000,0.33,2700,No
Aluminum Alloy 520.0,290,152,73000,26000,0.33,2700,No
Aluminum Alloy 535.0,241,124,73000,26000,0.33,2700,No
Aluminum Alloy 705.0,207,117,73000,26000,0.33,2700,No
Aluminum Alloy 707.0,228,152,73000,26000,0.33,2700,No
Aluminum Alloy 707.0,255,207,73000,26000,0.33,2700,No
Aluminum Alloy 710.0,221,138,73000,26000,0.33,2700,No
Aluminum Alloy 712.0,234,172,73000,26000,0.33,2700,No
Aluminum Alloy 713.0,221,152,73000,26000,0.33,2700,No
Aluminum Alloy 771.0,290,262,73000,26000,0.33,2700,No
Aluminum Alloy 771.0,221,186,73000,26000,0.33,2700,No
Aluminum Alloy 771.0,248,207,73000,26000,0.33,2700,No
Aluminum Alloy 771.0,248,186,73000,26000,0.33,2700,No
Aluminum Alloy 771.0,290,241,73000,26000,0.33,2700,No
Aluminum Alloy 771.0,331,310,73000,26000,0.33,2700,No
Aluminum Alloy 852.0,165,124,73000,26000,0.33,2700,No
Aluminum Alloy 1060-O,69,28,73000,26000,0.33,2700,No
Aluminum Alloy 1060-H12,83,76,73000,26000,0.33,2700,No
Aluminum Alloy 1060-H14,97,90,73000,26000,0.33,2700,No
Aluminum Alloy 1060-H16,110,103,73000,26000,0.33,2700,No
Aluminum Alloy 1060-H18,131,124,73000,26000,0.33,2700,No
Aluminum Alloy 1100-O,90,34,73000,26000,0.33,2700,No
Aluminum Alloy 1100-H12,110,103,73000,26000,0.33,2700,No
Aluminum Alloy 1100-H14,124,117,73000,26000,0.33,2700,No
Aluminum Alloy 1100-H16,145,138,73000,26000,0.33,2700,No
Aluminum Alloy 1100-H18,165,152,73000,26000,0.33,2700,No
Aluminum Alloy 1350-O,83,28,73000,26000,0.33,2700,No
Aluminum Alloy 1350-H12,97,83,73000,26000,0.33,2700,No
Aluminum Alloy 1350-H14,110,97,73000,26000,0.33,2700,No
Aluminum Alloy 1350-H16,124,110,73000,26000,0.33,2700,No
Aluminum Alloy 1350-H19,186,165,73000,26000,0.33,2700,No
Aluminum Alloy 2011-T3,379,296,73000,26000,0.33,2700,No
Aluminum Alloy 2011-T8,407,310,73000,26000,0.33,2700,No
Aluminum Alloy 2014-O,186,97,73000,26000,0.33,2700,No
Aluminum Alloy 2014-T4,427,290,73000,26000,0.33,2700,No
Aluminum Alloy 2014-T451,427,290,73000,26000,0.33,2700,No
Aluminum Alloy 2014-T6,483,414,73000,26000,0.33,2700,No
Aluminum Alloy 2014-T651,483,414,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2014-O,172,69,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2014-T3,434,276,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2014-T4,421,255,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2014-T451,421,255,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2014-T6,469,414,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2014-T651,469,414,73000,26000,0.33,2700,No
Aluminum Alloy 2017-O,179,69,73000,26000,0.33,2700,No
Aluminum Alloy 2017-T4,427,276,73000,26000,0.33,2700,No
Aluminum Alloy 2017-T451,427,276,73000,26000,0.33,2700,No
Aluminum Alloy 2018-T61,421,317,73000,26000,0.33,2700,No
Aluminum Alloy 2024-O,186,76,73000,26000,0.33,2700,No
Aluminum Alloy 2024-T3,483,345,73000,26000,0.33,2700,No
Aluminum Alloy 2024-T351,469,324,73000,26000,0.33,2700,No
Aluminum Alloy 2024-T4,469,324,73000,26000,0.33,2700,No
Aluminum Alloy 2024-T361,496,393,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2024-O,179,76,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2024-T3,448,310,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2024-T351,441,290,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2024-T4,441,290,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 202024-T361,462,365,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2024-T81,448,414,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2024-T851,448,414,73000,26000,0.33,2700,No
Aluminum Alloy Alclad 2024-T861,483,455,73000,26000,0.33,2700,No
Aluminum Alloy 2025-T6,400,255,73000,26000,0.33,2700,No
Aluminum Alloy 2036-T4,338,193,73000,26000,0.33,2700,No
Aluminum Alloy 2117-T4,296,165,73000,26000,0.33,2700,No
Aluminum Alloy 2218-T72,331,255,73000,26000,0.33,2700,No
Aluminum Alloy 2219-O,172,76,73000,26000,0.33,2700,No
Aluminum Alloy 2219-T42,359,186,73000,26000,0.33,2700,No
Aluminum Alloy 2219-T31,359,248,73000,26000,0.33,2700,No
Aluminum Alloy 2219-T351,359,248,73000,26000,0.33,2700,No
Aluminum Alloy 2219-T37,393,317,73000,26000,0.33,2700,No
Aluminum Alloy 2219-T62,414,290,73000,26000,0.33,2700,No
Aluminum Alloy 2219-T81,455,352,73000,26000,0.33,2700,No
Aluminum Alloy 2219-T851,455,352,73000,26000,0.33,2700,No
Aluminum Alloy 2219-T87,476,393,73000,26000,0.33,2700,No
Aluminum Alloy 3003-O,110,41,73000,26000,0.33,2700,No
Aluminum Alloy 3003-H12,131,124,73000,26000,0.33,2700,No
Aluminum Alloy 3003-H14,152,145,73000,26000,0.33,2700,No
Aluminum Alloy 3003-H16,179,172,73000,26000,0.33,2700,No
Aluminum Alloy 3003-H18,200,186,73000,26000,0.33,2700,No
